b_quark	69.1674 -68.8798 -4.29556 -1.94323	54.7824 -4.81264 -3.97441 -54.2649
W_boson	19.0768 18.9489 0.669269 0.259567	87.9939 16.824 86.2693 3.62371
W_boson	82.5437 -63.9286 5.52683 -51.8816	54.993 -29.1569 0.41321 -46.5788
b_quark	90.654 -56.65 26.1927 65.6156	38.2105 -29.9815 11.1619 20.4717
b_quark	32.3422 0.255632 10.1043 30.4365	23.8223 5.13012 20.6795 9.80158
b_quark	94.6702 19.1582 -88.9278 -25.8801	34.6325 33.2814 -1.57932 -8.47301
b_quark	48.7138 3.72748 -23.8272 42.1181	72.4365 47.5546 -3.1051 54.392
b_quark	36.3259 24.2072 -23.4943 12.8113	93.116 26.4639 -61.9685 64.1301
W_boson	25.5074 -11.4161 -0.269732 -22.7129	22.8274 -1.30158 -4.18391 -22.3057
b_quark	45.5773 -21.279 39.2866 -7.97425	100.43 -45.4195 40.2447 -79.9129
W_boson	14.1021 0.0667119 -13.9034 -1.10084	22.4032 0.837867 -22.29 -0.103821
b_quark	42.4201 -38.0165 -4.26967 -17.8468	92.3328 -43.8369 -80.9805 -5.32472
b_quark	57.9493 10.3757 -4.89549 -56.6483	79.8348 72.3878 -2.21534 -33.3349
b_quark	78.2317 39.2019 -66.578 11.5456	31.4795 14.839 -8.34894 26.1455
b_quark	76.9787 13.2982 38.1389 65.3975	19.4014 12.6104 6.94352 12.3169
b_quark	20.741 -16.0906 1.2422 12.3396	61.3592 -22.6451 1.41254 56.8567
W_boson	39.2355 39.0452 -0.559305 -3.19851	33.7398 29.2569 -16.3618 -3.21802
b_quark	93.1763 -48.141 12.7651 -78.6374	22.3555 -16.1935 1.56584 -14.7518
b_quark	22.801 -0.0646714 6.47683 21.4584	71.3852 -0.239305 43.1817 56.6891
Tau	52.7612 28.3409 -40.7789 -17.7329	71.0127 40.067 -16.6708 -56.1816
Tau	33.9192 -14.3154 -11.1772 28.592	34.1195 -30.7669 -5.96418 13.372
b_quark	33.3843 -20.1686 -5.38379 25.7154	44.9625 -31.8492 -31.1083 4.69631
b_quark	45.3831 34.652 -3.32673 -28.8154	46.0764 1.61729 -19.1282 -41.678
b_quark	89.9761 39.043 44.4948 -67.632	55.6745 30.0721 46.587 -2.73772
b_quark	9.98538 -3.6449 8.16775 -1.49599	15.9525 -14.6018 4.81199 -0.801102
b_quark	79.6758 74.0586 -28.609 5.2548	41.9528 18.1604 -31.4395 20.599
W_boson	28.7435 27.2763 8.60855 -1.93407	52.2068 2.97445 52.0061 -2.77957
b_quark	60.2853 -52.5632 13.0302 -26.1567	81.5974 -6.78676 67.3045 -45.4391
b_quark	46.8013 -2.42351 35.1177 -30.5575	58.244 -15.5139 42.012 -37.0028
b_quark	30.9813 -25.092 -15.7084 -8.12444	57.4573 -1.84016 -57.2697 -0.814106
b_quark	64.5048 -8.21257 43.6816 -46.5604	44.119 -1.32739 42.6532 -10.3899
b_quark	59.439 37.8044 45.666 0.982359	51.5201 43.98 26.506 0.208816
b_quark	46.0158 44.5988 -7.20679 7.68069	27.0422 18.9135 -0.344213 18.867
Z_boson	88.0291 33.4071 16.7439 79.6649	41.0844 31.5324 23.6975 11.2181
b_quark	33.3892 -30.7492 2.06601 -12.1484	13.1637 -11.3876 0.820922 -5.04592
b_quark	24.6852 1.43791 24.1229 2.81171	87.0452 73.8752 21.8266 40.3168
W_boson	68.8235 20.1968 -65.6005 4.58086	37.2205 21.1103 -30.581 0.416621
b_quark	85.4722 -77.3971 -0.307811 36.0225	10.6169 -9.56411 -1.90356 0.38731
b_quark	63.3819 37.1657 40.1454 -31.731	72.223 46.1611 37.8584 -40.43
b_quark	79.0937 78.9488 -2.28341 0.450352	21.3117 18.9237 -8.5119 2.48154
W_boson	42.6682 -7.43003 0.053909 -41.9645	63.4664 -4.62485 61.2761 -15.7317
b_quark	89.8731 -28.9395 15.8367 -83.4949	44.347 -40.3396 7.43335 -16.3293
b_quark	44.2253 37.6789 -1.34501 22.7353	22.0316 7.78814 -15.1102 13.377
b_quark	84.6179 14.3683 25.5619 -79.2645	66.7174 52.9157 40.1797 -4.38799
b_quark	25.1938 6.97653 -16.2725 -17.4295	45.6256 18.9378 -41.0181 -4.80583
b_quark	49.5902 25.2555 -0.522324 -42.4689	78.9243 64.2535 -45.6347 -0.724096
b_quark	52.7547 46.5383 -17.3467 -17.2877	85.3339 10.2347 -26.2222 -80.449
W_boson	22.6153 15.2443 16.4447 -2.07048	96.0312 81.4029 47.5005 -18.3008
W_boson	77.3557 -41.0179 -54.405 -36.5675	30.0488 -23.606 -14.0488 -11.9988
b_quark	56.3681 -50.467 16.118 18.7932	50.9952 -29.2056 10.8254 40.1607
b_quark	19.5779 5.94091 14.0401 11.5501	47.2891 44.6472 12.6459 8.09327
b_quark	28.9814 -25.4794 -12.3711 4.49438	65.1768 -10.765 -64.1415 0.730273
b_quark	39.4597 9.79908 12.8292 -35.7629	43.2085 7.79871 27.7687 -31.8996
b_quark	44.9709 42.3711 4.89751 -13.6238	38.431 29.674 6.46964 -23.1747
b_quark	8.47774 2.55145 6.83507 -1.08241	17.503 3.1582 10.7888 -12.748
W_boson	19.1467 -6.59049 -7.18624 -16.3454	20.6936 -19.3643 -3.44057 -6.08833
b_quark	93.6585 -79.6874 -46.2706 16.2291	20.2375 -4.65995 -2.9449 19.0183
b_quark	63.3191 30.2383 53.872 13.2396	84.1529 15.4834 35.0786 74.7931
W_boson	17.2192 -2.72069 16.8716 0.315875	26.4877 -5.19248 15.3995 20.8121
W_boson	53.5456 -44.9579 -28.6703 4.42509	25.1817 -24.9634 -2.56615 0.136451
b_quark	83.0305 -81.874 13.0326 1.84552	84.6617 -15.1359 15.5632 81.724
W_boson	73.2706 66.4656 30.0386 -6.65239	47.6481 27.5518 38.7565 -2.19729
b_quark	73.571 -66.4953 31.2024 -0.053907	33.5648 -29.088 10.1876 -12.6184
W_boson	52.0335 4.02318 35.3514 37.9108	48.2652 46.3188 3.78439 12.8617
b_quark	61.9754 -0.628774 -43.5608 43.881	112.753 -98.5204 -40.4558 36.7792
b_quark	62.9939 10.6479 -61.8911 2.62142	53.5967 38.6879 -36.8406 1.07426
